name,region,size-mL,container,price,critic,critic_score
Donelan Green Valley Kobler Family Syrah 2014,"California, USA",750,bottle,117.0,VIN,96
Henri de Villamont Les Feusselottes Chambolle-Musigny 1er Cru 2017,"Burgundy, France",750,bottle,117.0,WE,94
Blagny 1er cru Sous le Dos d'Ane 2015,France,750,bottle,116.9,none,0
Long Shadows Feather Cabernet Sauvignon 2017,"Washington, USA",750,bottle,116.0,JD,95
Leroux Vosne-Romanée Villages 2017,"Burgundy, France",750,bottle,116.0,DEC,92
Conterno Fantino Castelletto Vigna Pressenda Barolo 2014,"Piedmont, Italy",750,bottle,116.0,VIN,93
Hourglass Blueline Estate Merlot Napa Valley 2014,"California, USA",750,bottle,115.9,none,0
Lescure Pommard Bertins 2015,France,750,bottle,115.5,none,0
Valley Spring Mountain Pinot Noir 2013,"California, USA",750,bottle,115.15,none,0
Poonawatta Estate The 1880 Shiraz 2012,"South Australia, Australia",750,bottle,115.0,JS,97
Bien Nacido Solomon Hills Vineyard Pinot Noir 2014,"California, USA",750,bottle,115.0,VIN,94
Goldeneye Gowan Creek Vineyard Pinot Noir,"California, USA",750,bottle,115.0,none,0
